Price,Size,Rooms,Toilets,Suites,Parking,Elevator,Furnished,Swimming Pool,New,District,Negotiation Type,Price_per_sqm,Coordenadas,Tipo_Escola_Mais_Proxima,Distancia_Escola_Mais_Proxima
930,47,2,2,1,1,0,0,0,0,Artur Alvim,rent,19.78723404255319,"(-23.543138, -46.479486)",Pública,0.08472329641764308
1000,45,2,2,1,1,0,0,0,0,Artur Alvim,rent,22.22222222222222,"(-23.550239, -46.480718)",Pública,0.2254940412006153
1000,48,2,2,1,1,0,0,0,0,Artur Alvim,rent,20.833333333333332,"(-23.542818, -46.485665)",Pública,0.16231879886764286
1000,48,2,2,1,1,0,0,0,0,Artur Alvim,rent,20.833333333333332,"(-23.547171, -46.483014)",Pública,0.2381197511000805
1300,55,2,2,1,1,1,0,0,0,Artur Alvim,rent,23.636363636363637,"(-23.525025, -46.482436)",Pública,0.19364561162667548
1170,50,2,2,1,1,0,0,0,0,Artur Alvim,rent,23.4,"(-23.548751, -46.477195)",Pública,0.4783638009202718
1000,52,1,2,1,1,1,0,0,0,Artur Alvim,rent,19.23076923076923,"(-23.54984, -46.484137)",Pública,0.17348478243654947
900,40,2,2,1,1,0,0,0,0,Artur Alvim,rent,22.5,"(-23.53974, -46.49267)",Privada,0.1193431914195269
1000,65,2,2,1,1,0,0,0,0,Artur Alvim,rent,15.384615384615385,"(-23.548751, -46.477195)",Pública,0.4783638009202718
1000,100,2,2,1,1,0,0,0,0,Artur Alvim,rent,10.0,"(-23.548751, -46.477195)",Pública,0.4783638009202718
760,38,2,2,1,1,0,0,0,0,Artur Alvim,rent,20.0,"(-23.55185, -46.491169)",Privada,0.1673846032905081
800,48,2,2,1,1,0,0,0,0,Artur Alvim,rent,16.666666666666668,"(-23.545761, -46.479509)",Pública,0.14885881724575362
900,56,2,2,1,1,0,0,0,0,Artur Alvim,rent,16.071428571428573,"(-23.552073, -46.483411)",Pública,0.14326261217197664
1000,56,2,2,1,1,0,0,0,0,Artur Alvim,rent,17.857142857142858,"(-23.541366, -46.483726)",Privada,0.13346488087335537
1800,54,2,2,1,1,1,0,1,0,Belém,rent,33.333333333333336,"(-23.543955, -46.586619)",Privada,0.4183362647677538
1600,45,2,2,1,1,0,0,0,0,Belém,rent,35.55555555555556,"(-23.544698, -46.602114)",Privada,0.624393115902528
1500,55,2,2,1,1,1,0,0,0,Belém,rent,27.272727272727273,"(-23.546104, -46.594579)",Pública,0.39707405520950656
1600,43,2,2,1,1,1,0,0,0,Belém,rent,37.2093023255814,"(-23.534606, -46.595084)",Privada,0.4722979505504221
1600,80,2,2,1,1,1,0,0,0,Belém,rent,20.0,"(-23.53962, -46.596337)",Privada,0.20019013308439404
1600,46,2,2,1,1,0,0,0,0,Belém,rent,34.78260869565217,"(-23.544698, -46.602114)",Privada,0.624393115902528
1900,67,3,2,1,1,1,1,0,0,Belém,rent,28.35820895522388,"(-23.53838, -46.589441)",Pública,0.11259625924477257
2500,68,3,2,1,1,0,0,1,0,Belém,rent,36.76470588235294,"(-23.538163, -46.591505)",Privada,0.12373917798903261
1400,63,2,2,1,1,0,0,1,0,Belém,rent,22.22222222222222,"(-23.540023, -46.586898)",Privada,0.04496018972828099
1800,59,3,2,1,1,0,0,0,0,Belém,rent,30.508474576271187,"(-23.544698, -46.602114)",Privada,0.624393115902528
1500,230,3,2,1,2,0,0,0,0,Belém,rent,6.521739130434782,"(-23.540212, -46.585702)",Privada,0.0926313512837951
2300,113,3,2,1,2,1,0,0,0,Belém,rent,20.353982300884955,"(-23.538134, -46.594059)",Privada,0.33541824378639534
2250,68,2,2,1,1,0,0,1,0,Belém,rent,33.088235294117645,"(-23.538163, -46.591505)",Privada,0.12373917798903261
1700,65,2,2,1,1,0,0,1,0,Belém,rent,26.153846153846153,"(-23.532871, -46.601244)",Privada,0.31196140508393727
1726,55,2,2,1,1,1,0,1,0,Belém,rent,31.381818181818183,"(-23.534606, -46.595084)",Privada,0.4722979505504221
1700,50,1,2,1,1,1,0,1,0,Belém,rent,34.0,"(-23.546089, -46.590325)",Privada,0.7461789647526063
1600,48,2,2,1,1,1,0,0,0,Belém,rent,33.333333333333336,"(-23.546104, -46.594579)",Pública,0.39707405520950656
810,36,1,2,1,1,0,0,0,0,Belém,rent,22.5,"(-23.538794, -46.605664)",Privada,0.4276789807868549
3000,107,3,3,1,2,1,0,1,0,Belém,rent,28.037383177570092,"(-23.538767, -46.594706)",Privada,0.24801121681033925
6000,150,3,4,3,2,1,1,0,0,Belém,rent,40.0,"(-23.550987, -46.590908)",Privada,0.21153322126475047
1750,60,3,2,1,1,0,0,0,0,Belém,rent,29.166666666666668,"(-23.53838, -46.589441)",Pública,0.11259625924477257
2500,113,3,2,1,2,1,0,0,0,Belém,rent,22.123893805309734,"(-23.538134, -46.594059)",Privada,0.33541824378639534
3800,155,3,4,3,3,1,1,0,0,Belém,rent,24.516129032258064,"(-23.540085, -46.593312)",Privada,0.22441189836249958
1600,66,2,2,1,1,1,0,0,0,Belém,rent,24.242424242424242,"(-23.537299, -46.583385)",Privada,0.12540937888079493
990,57,2,2,1,1,0,0,0,0,Belém,rent,17.36842105263158,"(-23.530025, -46.600427)",Pública,0.18829770596181353
1850,57,2,2,1,2,0,0,1,0,Belém,rent,32.45614035087719,"(-23.543955, -46.586619)",Privada,0.4183362647677538
1950,55,2,2,1,1,1,1,0,0,Belém,rent,35.45454545454545,"(-23.535523, -46.593554)",Privada,0.4869559894325882
1099,85,2,2,1,1,0,0,0,0,Belém,rent,12.929411764705883,"(-23.536996, -46.591994)",Privada,0.2636011059556143
2300,114,4,3,2,2,0,0,1,0,Belém,rent,20.17543859649123,"(-23.538904, -46.589456)",Pública,0.16963334480966946
1500,80,3,2,1,1,0,0,0,0,Belém,rent,18.75,"(-23.53718, -46.593103)",Privada,0.30835489295650953
1300,44,2,2,1,1,1,0,0,0,Belém,rent,29.545454545454547,"(-23.559264, -46.575407)",Privada,0.25944376856942575
1900,55,2,2,1,1,1,1,0,0,Belém,rent,34.54545454545455,"(-23.536768, -46.593884)",Privada,0.4019263442572312
1350,51,2,2,1,1,1,0,0,0,Belém,rent,26.470588235294116,"(-23.538535, -46.595799)",Privada,0.27936185946640135
2500,115,3,2,1,2,1,0,1,0,Belém,rent,21.73913043478261,"(-23.538282, -46.593159)",Privada,0.2372245916224058
2500,73,3,2,1,1,1,0,0,0,Belém,rent,34.24657534246575,"(-23.537348, -46.588941)",Pública,0.024406513332211457
1200,48,2,2,1,1,0,0,0,0,Cangaíba,rent,25.0,"(-23.502336, -46.523243)",Privada,0.04633867994059249
1450,65,2,2,1,1,1,0,0,0,Cangaíba,rent,22.307692307692307,"(-23.506197, -46.522358)",Privada,0.2589362065882954
