,Price,Size,Rooms,Toilets,Suites,Parking,Elevator,Furnished,Swimming Pool,New,District,Negotiation Type,Price_per_sqm,Coordenadas,Tipo_Escola_Mais_Proxima,Distancia_Escola_Mais_Proxima
4901,732600,74,1,2,1,2,1,0,1,0,Vila Madalena,sale,9900.0,"(-23.552129, -46.692244)",Privada,0.1989835269208581
4902,1990000,164,4,5,2,3,1,1,1,0,Vila Madalena,sale,12134.146341463415,"(-23.551613, -46.699106)",Privada,0.27494987622802086
4903,720000,70,2,2,1,1,1,0,1,1,Vila Madalena,sale,10285.714285714286,"(-23.547687, -46.692594)",Pública,0.31115244348337656
4904,1680000,155,3,5,3,2,1,0,1,0,Vila Madalena,sale,10838.709677419354,"(-23.55259, -46.691104)",Pública,0.1311325502494503
4905,1200000,56,2,2,1,2,0,1,1,0,Vila Madalena,sale,21428.571428571428,"(-23.553087, -46.69789)",Privada,0.09277418417263188
4906,1950000,122,3,2,1,2,1,0,1,0,Vila Madalena,sale,15983.606557377048,"(-23.558541, -46.69232)",Privada,0.2623750764742981
4907,2105860,149,4,1,3,2,1,0,1,0,Vila Madalena,sale,14133.288590604026,"(-23.548473, -46.693005)",Pública,0.21245295864172098
4908,1475610,118,3,3,1,2,1,0,1,0,Vila Madalena,sale,12505.169491525423,"(-23.549317, -46.692097)",Privada,0.19289600780955982
4909,1350000,112,3,3,1,2,0,1,1,0,Vila Madalena,sale,12053.57142857143,"(-23.554729, -46.689597)",Pública,0.21408317899835064
4910,1880000,149,4,5,2,2,1,0,1,0,Vila Madalena,sale,12617.44966442953,"(-23.548235, -46.692536)",Pública,0.2613859025760901
4911,720000,73,2,2,1,1,1,0,0,0,Vila Madalena,sale,9863.013698630137,"(-23.544957, -46.693206)",Pública,0.3479356062342331
4912,1100000,94,3,3,1,1,1,0,0,0,Vila Madalena,sale,11702.127659574468,"(-23.543664, -46.704285)",Pública,0.31045645203477307
4913,650000,67,2,2,1,1,1,0,0,1,Vila Madalena,sale,9701.492537313432,"(-23.56215, -46.692518)",Privada,0.6615463627693018
4914,1500000,156,4,5,3,3,0,0,0,0,Vila Madalena,sale,9615.384615384615,"(-23.552596, -46.691106)",Pública,0.13044143958703133
4915,928000,97,3,2,1,1,1,0,0,0,Vila Madalena,sale,9567.01030927835,"(-23.545566, -46.693608)",Pública,0.3958804186578297
4916,697400,67,3,2,1,1,1,0,1,0,Vila Madalena,sale,10408.955223880597,"(-23.544082, -46.690373)",Privada,0.40248644663058586
